,index,blocknum,p0vs1,p1vs0,DAI-slippagemap_01,DAI-slippagemap_2,DAI-slippagemap_3,DAI-slippagemap_4,DAI-slippagemap_5,DAI-slippagemap_6,DAI-slippagemap_7,DAI-slippagemap_8,DAI-slippagemap_9,DAI-slippagemap_10,DAI-slippagemap_11,DAI-slippagemap_12,DAI-slippagemap_13,DAI-slippagemap_14,DAI-slippagemap_15,DAI-slippagemap_16,DAI-slippagemap_17,DAI-slippagemap_18,DAI-slippagemap_19,DAI-slippagemap_20,WETH-slippagemap_01,WETH-slippagemap_2,WETH-slippagemap_3,WETH-slippagemap_4,WETH-slippagemap_5,WETH-slippagemap_6,WETH-slippagemap_7,WETH-slippagemap_8,WETH-slippagemap_9,WETH-slippagemap_10,WETH-slippagemap_11,WETH-slippagemap_12,WETH-slippagemap_13,WETH-slippagemap_14,WETH-slippagemap_15,WETH-slippagemap_16,WETH-slippagemap_17,WETH-slippagemap_18,WETH-slippagemap_19,WETH-slippagemap_20
0,0,13723022.0,0.00021478399416826024,4655.840412468571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,13882607.0,0.00021478399416826024,4655.840412468571,43.7722180989537,43.7722180989537,43.7722180989537,43.7722180989537,43.7722180989537,43.7722180989537,43.7722180989537,43.7722180989537,43.7722180989537,43.7722180989537,43.7722180989537,43.7722180989537,43.7722180989537,43.7722180989537,43.7722180989537,43.7722180989537,43.7722180989537,43.7722180989537,43.7722180989537,43.7722180989537,0.023137958047983853,0.023137958047983853,0.023137958047983853,0.023137958047983853,0.023137958047983853,0.023137958047983853,0.023137958047983853,0.023137958047983853,0.023137958047983853,0.023137958047983853,0.023137958047983853,0.023137958047983853,0.023137958047983853,0.023137958047983853,0.023137958047983853,0.023137958047983853,0.023137958047983853,0.023137958047983853,0.023137958047983853,0.023137958047983853
2,2,13886173.0,0.0002148269531149338,4654.909384042669,19.244549302419824,19.244549302419824,19.244549302419824,19.244549302419824,19.244549302419824,19.244549302419824,19.244549302419824,19.244549302419824,19.244549302419824,19.244549302419824,19.244549302419824,19.244549302419824,19.244549302419824,19.244549302419824,19.244549302419824,19.244549302419824,19.244549302419824,19.244549302419824,19.244549302419824,19.244549302419824,0.02840701080209635,0.02840701080209635,0.02840701080209635,0.02840701080209635,0.02840701080209635,0.02840701080209635,0.02840701080209635,0.02840701080209635,0.02840701080209635,0.02840701080209635,0.02840701080209635,0.02840701080209635,0.02840701080209635,0.02840701080209635,0.02840701080209635,0.02840701080209635,0.02840701080209635,0.02840701080209635,0.02840701080209635,0.02840701080209635
3,3,13891381.0,0.0002148269531149338,4654.909384042669,14.590395139391104,14.590395139391104,14.590395139391104,14.590395139391104,14.590395139391104,14.590395139391104,14.590395139391104,14.590395139391104,14.590395139391104,14.590395139391104,14.590395139391104,14.590395139391104,14.590395139391104,14.590395139391104,14.590395139391104,14.590395139391104,14.590395139391104,14.590395139391104,14.590395139391104,14.590395139391104,0.029406925710048767,0.029406925710048767,0.029406925710048767,0.029406925710048767,0.029406925710048767,0.029406925710048767,0.029406925710048767,0.029406925710048767,0.029406925710048767,0.029406925710048767,0.029406925710048767,0.029406925710048767,0.029406925710048767,0.029406925710048767,0.029406925710048767,0.029406925710048767,0.029406925710048767,0.029406925710048767,0.029406925710048767,0.029406925710048767
4,4,13919721.0,0.0002148269531149338,4654.909384042669,0.43771185418173364,0.43771185418173364,0.43771185418173364,0.43771185418173364,0.43771185418173364,0.43771185418173364,0.43771185418173364,0.43771185418173364,0.43771185418173364,0.43771185418173364,0.43771185418173364,0.43771185418173364,0.43771185418173364,0.43771185418173364,0.43771185418173364,0.43771185418173364,0.43771185418173364,0.43771185418173364,0.43771185418173364,0.43771185418173364,0.0008822077713014641,0.0008822077713014641,0.0008822077713014641,0.0008822077713014641,0.0008822077713014641,0.0008822077713014641,0.0008822077713014641,0.0008822077713014641,0.0008822077713014641,0.0008822077713014641,0.0008822077713014641,0.0008822077713014641,0.0008822077713014641,0.0008822077713014641,0.0008822077713014641,0.0008822077713014641,0.0008822077713014641,0.0008822077713014641,0.0008822077713014641,0.0008822077713014641
5,5,14250914.0,0.0002148269531149338,4654.909384042669,0.4376665037921926,0.4376665037921926,0.4376665037921926,0.4376665037921926,0.4376665037921926,0.4376665037921926,0.4376665037921926,0.4376665037921926,0.4376665037921926,0.4376665037921926,0.4376665037921926,0.4376665037921926,0.4376665037921926,0.4376665037921926,0.4376665037921926,0.4376665037921926,0.4376665037921926,0.4376665037921926,0.4376665037921926,0.4376665037921926,0.0008822175147038956,0.0008822175147038956,0.0008822175147038956,0.0008822175147038956,0.0008822175147038956,0.0008822175147038956,0.0008822175147038956,0.0008822175147038956,0.0008822175147038956,0.0008822175147038956,0.0008822175147038956,0.0008822175147038956,0.0008822175147038956,0.0008822175147038956,0.0008822175147038956,0.0008822175147038956,0.0008822175147038956,0.0008822175147038956,0.0008822175147038956,0.0008822175147038956
6,6,14303847.0,0.0002148269531149338,4654.909384042669,0.42208750632335046,0.42208750632335046,0.42208750632335046,0.42208750632335046,0.42208750632335046,0.42208750632335046,0.42208750632335046,0.42208750632335046,0.42208750632335046,0.42208750632335046,0.42208750632335046,0.42208750632335046,0.42208750632335046,0.42208750632335046,0.42208750632335046,0.42208750632335046,0.42208750632335046,0.42208750632335046,0.42208750632335046,0.42208750632335046,0.0008855646244055776,0.0008855646244055776,0.0008855646244055776,0.0008855646244055776,0.0008855646244055776,0.0008855646244055776,0.0008855646244055776,0.0008855646244055776,0.0008855646244055776,0.0008855646244055776,0.0008855646244055776,0.0008855646244055776,0.0008855646244055776,0.0008855646244055776,0.0008855646244055776,0.0008855646244055776,0.0008855646244055776,0.0008855646244055776,0.0008855646244055776,0.0008855646244055776
7,7,14364658.0,0.0002148269531149338,4654.909384042669,0.42204598692826584,0.42204598692826584,0.42204598692826584,0.42204598692826584,0.42204598692826584,0.42204598692826584,0.42204598692826584,0.42204598692826584,0.42204598692826584,0.42204598692826584,0.42204598692826584,0.42204598692826584,0.42204598692826584,0.42204598692826584,0.42204598692826584,0.42204598692826584,0.42204598692826584,0.42204598692826584,0.42204598692826584,0.42204598692826584,0.0008855735447634539,0.0008855735447634539,0.0008855735447634539,0.0008855735447634539,0.0008855735447634539,0.0008855735447634539,0.0008855735447634539,0.0008855735447634539,0.0008855735447634539,0.0008855735447634539,0.0008855735447634539,0.0008855735447634539,0.0008855735447634539,0.0008855735447634539,0.0008855735447634539,0.0008855735447634539,0.0008855735447634539,0.0008855735447634539,0.0008855735447634539,0.0008855735447634539
8,8,14387826.0,0.0002148269531149338,4654.909384042669,0.41882077415910024,0.41882077415910024,0.41882077415910024,0.41882077415910024,0.41882077415910024,0.41882077415910024,0.41882077415910024,0.41882077415910024,0.41882077415910024,0.41882077415910024,0.41882077415910024,0.41882077415910024,0.41882077415910024,0.41882077415910024,0.41882077415910024,0.41882077415910024,0.41882077415910024,0.41882077415910024,0.41882077415910024,0.41882077415910024,0.0008862664754634907,0.0008862664754634907,0.0008862664754634907,0.0008862664754634907,0.0008862664754634907,0.0008862664754634907,0.0008862664754634907,0.0008862664754634907,0.0008862664754634907,0.0008862664754634907,0.0008862664754634907,0.0008862664754634907,0.0008862664754634907,0.0008862664754634907,0.0008862664754634907,0.0008862664754634907,0.0008862664754634907,0.0008862664754634907,0.0008862664754634907,0.0008862664754634907
9,9,14397934.0,0.0002148269531149338,4654.909384042669,0.41881708354910324,0.41881708354910324,0.41881708354910324,0.41881708354910324,0.41881708354910324,0.41881708354910324,0.41881708354910324,0.41881708354910324,0.41881708354910324,0.41881708354910324,0.41881708354910324,0.41881708354910324,0.41881708354910324,0.41881708354910324,0.41881708354910324,0.41881708354910324,0.41881708354910324,0.41881708354910324,0.41881708354910324,0.41881708354910324,0.0008862672683841911,0.0008862672683841911,0.0008862672683841911,0.0008862672683841911,0.0008862672683841911,0.0008862672683841911,0.0008862672683841911,0.0008862672683841911,0.0008862672683841911,0.0008862672683841911,0.0008862672683841911,0.0008862672683841911,0.0008862672683841911,0.0008862672683841911,0.0008862672683841911,0.0008862672683841911,0.0008862672683841911,0.0008862672683841911,0.0008862672683841911,0.0008862672683841911
10,10,14443055.0,0.0002148269531149338,4654.909384042669,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.4141631013106704,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444,0.0008872671683842444
11,11,14644793.0,0.0002148269531149338,4654.909384042669,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.41411696873796916,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951,0.0008872770798929951
12,12,14670833.0,0.0002148269531149338,4654.909384042669,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.41409509541906175,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803,0.0008872817793402803
13,13,14718252.0,0.0002148269531149338,4654.909384042669,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.41403822551578257,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841,0.0008872939977473841
14,14,14753987.0,0.0002148269531149338,4654.909384042669,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.4140382255150102,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501,0.0008872939977475501
15,15,14819985.0,0.0002148269531149338,4654.909384042669,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.4136728568916378,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946,0.0008873724966116946
16,16,14820968.0,0.0002148269531149338,4654.909384042669,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.41363127926125287,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988,0.0008873814294994988
17,17,14934801.0,0.0002148269531149338,4654.909384042669,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.41362662528223837,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986,0.0008873824293994986
18,18,14964417.0,0.0002148269531149338,4654.909384042669,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.41362662528022,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322,0.0008873824293999322
19,19,14968887.0,0.0002148269531149338,4654.909384042669,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.41358049271350833,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829,0.0008873923409086829
20,20,15012246.0,0.0002148269531149338,4654.909384042669,0.4135804880595275,0.4135804880595275,0.4135804880595275,0.4135804880595275,0.4135804880595275,0.4135804880595275,0.4135804880595275,0.4135804880595275,0.4135804880595275,0.4135804880595275,0.4135804880595275,0.4135804880595275,0.4135804880595275,0.4135804880595275,0.4135804880595275,0.4135804880595275,0.4135804880595275,0.4135804880595275,0.4135804880595275,0.4135804880595275,0.0008873923419085833,0.0008873923419085833,0.0008873923419085833,0.0008873923419085833,0.0008873923419085833,0.0008873923419085833,0.0008873923419085833,0.0008873923419085833,0.0008873923419085833,0.0008873923419085833,0.0008873923419085833,0.0008873923419085833,0.0008873923419085833,0.0008873923419085833,0.0008873923419085833,0.0008873923419085833,0.0008873923419085833,0.0008873923419085833,0.0008873923419085833,0.0008873923419085833
21,21,15023561.0,0.0002148269531149338,4654.909384042669,0.4135804875726737,0.4135804875726737,0.4135804875726737,0.4135804875726737,0.4135804875726737,0.4135804875726737,0.4135804875726737,0.4135804875726737,0.4135804875726737,0.4135804875726737,0.4135804875726737,0.4135804875726737,0.4135804875726737,0.4135804875726737,0.4135804875726737,0.4135804875726737,0.4135804875726737,0.4135804875726737,0.4135804875726737,0.4135804875726737,0.000887392342013183,0.000887392342013183,0.000887392342013183,0.000887392342013183,0.000887392342013183,0.000887392342013183,0.000887392342013183,0.000887392342013183,0.000887392342013183,0.000887392342013183,0.000887392342013183,0.000887392342013183,0.000887392342013183,0.000887392342013183,0.000887392342013183,0.000887392342013183,0.000887392342013183,0.000887392342013183,0.000887392342013183,0.000887392342013183
22,22,15036848.0,0.0002148269531149338,4654.909384042669,0.4135758335937164,0.4135758335937164,0.4135758335937164,0.4135758335937164,0.4135758335937164,0.4135758335937164,0.4135758335937164,0.4135758335937164,0.4135758335937164,0.4135758335937164,0.4135758335937164,0.4135758335937164,0.4135758335937164,0.4135758335937164,0.4135758335937164,0.4135758335937164,0.4135758335937164,0.4135758335937164,0.4135758335937164,0.4135758335937164,0.0008873933419131829,0.0008873933419131829,0.0008873933419131829,0.0008873933419131829,0.0008873933419131829,0.0008873933419131829,0.0008873933419131829,0.0008873933419131829,0.0008873933419131829,0.0008873933419131829,0.0008873933419131829,0.0008873933419131829,0.0008873933419131829,0.0008873933419131829,0.0008873933419131829,0.0008873933419131829,0.0008873933419131829,0.0008873933419131829,0.0008873933419131829,0.0008873933419131829
23,23,15074271.0,0.0002148269531149338,4654.909384042669,0.4135711796147587,0.4135711796147587,0.4135711796147587,0.4135711796147587,0.4135711796147587,0.4135711796147587,0.4135711796147587,0.4135711796147587,0.4135711796147587,0.4135711796147587,0.4135711796147587,0.4135711796147587,0.4135711796147587,0.4135711796147587,0.4135711796147587,0.4135711796147587,0.4135711796147587,0.4135711796147587,0.4135711796147587,0.4135711796147587,0.0008873943418131838,0.0008873943418131838,0.0008873943418131838,0.0008873943418131838,0.0008873943418131838,0.0008873943418131838,0.0008873943418131838,0.0008873943418131838,0.0008873943418131838,0.0008873943418131838,0.0008873943418131838,0.0008873943418131838,0.0008873943418131838,0.0008873943418131838,0.0008873943418131838,0.0008873943418131838,0.0008873943418131838,0.0008873943418131838,0.0008873943418131838,0.0008873943418131838
